#i crate slot tb dcc spigot htr_fi fib_ch det eta phi type
4E22CA30 38 1 u 0 0 0 0 HE -1 35 0
4E22CA31 38 1 u 0 0 0 1 HE -1 35 1
4E22CA33 38 1 u 0 0 0 2 HE -1 35 3
4E22CA34 38 1 u 0 0 1 0 HE -1 35 4
4E22CA35 38 1 u 0 0 1 1 HE -1 35 5
4E22CA36 38 1 u 0 0 1 2 HE -1 35 6
4E22CA70 38 1 u 0 0 2 0 HE -1 39 0
4E22CA71 38 1 u 0 0 2 1 HE -1 39 1
4E22CA73 38 1 u 0 0 2 2 HE -1 39 3
4E22CA74 38 1 u 0 0 3 0 HE -1 39 4
4E22CA75 38 1 u 0 0 3 1 HE -1 39 5
4E22CA76 38 1 u 0 0 3 2 HE -1 39 6
4E22DA30 38 1 u 0 0 4 0 HE 1 35 0
4E22DA31 38 1 u 0 0 4 1 HE 1 35 1
4E22DA33 38 1 u 0 0 4 2 HE 1 35 3
4E22DA34 38 1 u 0 0 5 0 HE 1 35 4
4E22DA35 38 1 u 0 0 5 1 HE 1 35 5
4E22DA36 38 1 u 0 0 5 2 HE 1 35 6
4E22DA70 38 1 u 0 0 6 0 HE 1 39 0
4E22DA71 38 1 u 0 0 6 1 HE 1 39 1
4E22DA73 38 1 u 0 0 6 2 HE 1 39 3
4E22DA74 38 1 u 0 0 7 0 HE 1 39 4
4E22DA75 38 1 u 0 0 7 1 HE 1 39 5
4E22DA76 38 1 u 0 0 7 2 HE 1 39 6
4E22CAB0 38 1 u 0 0 8 0 HE -1 43 0
4E22CAB1 38 1 u 0 0 8 1 HE -1 43 1
4E22CAB3 38 1 u 0 0 8 2 HE -1 43 3
4E22CAB4 38 1 u 0 0 9 0 HE -1 43 4
4E22CAB5 38 1 u 0 0 9 1 HE -1 43 5
4E22CAB6 38 1 u 0 0 9 2 HE -1 43 6
4E22CAF0 38 1 u 0 0 10 0 HE -1 47 0
4E22CAF1 38 1 u 0 0 10 1 HE -1 47 1
4E22CAF3 38 1 u 0 0 10 2 HE -1 47 3
4E22CAF4 38 1 u 0 0 11 0 HE -1 47 4
4E22CAF5 38 1 u 0 0 11 1 HE -1 47 5
4E22CAF6 38 1 u 0 0 11 2 HE -1 47 6
4E22DAB0 38 1 u 0 0 12 0 HE 1 43 0
4E22DAB1 38 1 u 0 0 12 1 HE 1 43 1
4E22DAB3 38 1 u 0 0 12 2 HE 1 43 3
4E22DAB4 38 1 u 0 0 13 0 HE 1 43 4
4E22DAB5 38 1 u 0 0 13 1 HE 1 43 5
4E22DAB6 38 1 u 0 0 13 2 HE 1 43 6
4E22DAF0 38 1 u 0 0 14 0 HE 1 47 0
4E22DAF1 38 1 u 0 0 14 1 HE 1 47 1
4E22DAF3 38 1 u 0 0 14 2 HE 1 47 3
4E22DAF4 38 1 u 0 0 15 0 HE 1 47 4
4E22DAF5 38 1 u 0 0 15 1 HE 1 47 5
4E22DAF6 38 1 u 0 0 15 2 HE 1 47 6
4E22CB30 38 1 u 0 0 16 0 HE -1 51 0
4E22CB31 38 1 u 0 0 16 1 HE -1 51 1
4E22CB33 38 1 u 0 0 16 2 HE -1 51 3
4E22CB34 38 1 u 0 0 17 0 HE -1 51 4
4E22CB35 38 1 u 0 0 17 1 HE -1 51 5
4E22CB36 38 1 u 0 0 17 2 HE -1 51 6
4E22CB70 38 1 u 0 0 18 0 HE -1 55 0
4E22CB71 38 1 u 0 0 18 1 HE -1 55 1
4E22CB73 38 1 u 0 0 18 2 HE -1 55 3
4E22CB74 38 1 u 0 0 19 0 HE -1 55 4
4E22CB75 38 1 u 0 0 19 1 HE -1 55 5
4E22CB76 38 1 u 0 0 19 2 HE -1 55 6
4E22DB30 38 1 u 0 0 20 0 HE 1 51 0
4E22DB31 38 1 u 0 0 20 1 HE 1 51 1
4E22DB33 38 1 u 0 0 20 2 HE 1 51 3
4E22DB34 38 1 u 0 0 21 0 HE 1 51 4
4E22DB35 38 1 u 0 0 21 1 HE 1 51 5
4E22DB36 38 1 u 0 0 21 2 HE 1 51 6
4E22DB70 38 1 u 0 0 22 0 HE 1 55 0
4E22DB71 38 1 u 0 0 22 1 HE 1 55 1
4E22DB73 38 1 u 0 0 22 2 HE 1 55 3
4E22DB74 38 1 u 0 0 23 0 HE 1 55 4
4E22DB75 38 1 u 0 0 23 1 HE 1 55 5
4E22DB76 38 1 u 0 0 23 2 HE 1 55 6
4E22CBB0 38 2 u 0 0 0 0 HE -1 59 0
4E22CBB1 38 2 u 0 0 0 1 HE -1 59 1
4E22CBB3 38 2 u 0 0 0 2 HE -1 59 3
4E22CBB4 38 2 u 0 0 1 0 HE -1 59 4
4E22CBB5 38 2 u 0 0 1 1 HE -1 59 5
4E22CBB6 38 2 u 0 0 1 2 HE -1 59 6
4E22CBF0 38 2 u 0 0 2 0 HE -1 63 0
4E22CBF1 38 2 u 0 0 2 1 HE -1 63 1
4E22CBF3 38 2 u 0 0 2 2 HE -1 63 3
4E22CBF4 38 2 u 0 0 3 0 HE -1 63 4
4E22CBF5 38 2 u 0 0 3 1 HE -1 63 5
4E22CBF6 38 2 u 0 0 3 2 HE -1 63 6
4E22DBB0 38 2 u 0 0 4 0 HE 1 59 0
4E22DBB1 38 2 u 0 0 4 1 HE 1 59 1
4E22DBB3 38 2 u 0 0 4 2 HE 1 59 3
4E22DBB4 38 2 u 0 0 5 0 HE 1 59 4
4E22DBB5 38 2 u 0 0 5 1 HE 1 59 5
4E22DBB6 38 2 u 0 0 5 2 HE 1 59 6
4E22CC30 38 2 u 0 0 8 0 HE -1 67 0
4E22CC31 38 2 u 0 0 8 1 HE -1 67 1
4E22CC33 38 2 u 0 0 8 2 HE -1 67 3
4E22CC34 38 2 u 0 0 9 0 HE -1 67 4
4E22CC35 38 2 u 0 0 9 1 HE -1 67 5
4E22CC36 38 2 u 0 0 9 2 HE -1 67 6
4E22CC70 38 2 u 0 0 10 0 HE -1 71 0
4E22CC71 38 2 u 0 0 10 1 HE -1 71 1
4E22CC73 38 2 u 0 0 10 2 HE -1 71 3
4E22CC74 38 2 u 0 0 11 0 HE -1 71 4
4E22CC75 38 2 u 0 0 11 1 HE -1 71 5
4E22CC76 38 2 u 0 0 11 2 HE -1 71 6
4E22DC30 38 2 u 0 0 12 0 HE 1 67 0
4E22DC31 38 2 u 0 0 12 1 HE 1 67 1
4E22DC33 38 2 u 0 0 12 2 HE 1 67 3
4E22DC34 38 2 u 0 0 13 0 HE 1 67 4
4E22DC35 38 2 u 0 0 13 1 HE 1 67 5
4E22DC36 38 2 u 0 0 13 2 HE 1 67 6
4E22DC70 38 2 u 0 0 14 0 HE 1 71 0
4E22DC71 38 2 u 0 0 14 1 HE 1 71 1
4E22DC73 38 2 u 0 0 14 2 HE 1 71 3
4E22DC74 38 2 u 0 0 15 0 HE 1 71 4
4E22DC75 38 2 u 0 0 15 1 HE 1 71 5
4E22DC76 38 2 u 0 0 15 2 HE 1 71 6
4E22C830 38 2 u 0 0 16 0 HE -1 3 0
4E22C831 38 2 u 0 0 16 1 HE -1 3 1
4E22C833 38 2 u 0 0 16 2 HE -1 3 3
4E22C834 38 2 u 0 0 17 0 HE -1 3 4
4E22C835 38 2 u 0 0 17 1 HE -1 3 5
4E22C836 38 2 u 0 0 17 2 HE -1 3 6
4E22C870 38 2 u 0 0 18 0 HE -1 7 0
4E22C871 38 2 u 0 0 18 1 HE -1 7 1
4E22C873 38 2 u 0 0 18 2 HE -1 7 3
4E22C874 38 2 u 0 0 19 0 HE -1 7 4
4E22C875 38 2 u 0 0 19 1 HE -1 7 5
4E22C876 38 2 u 0 0 19 2 HE -1 7 6
4E22D830 38 2 u 0 0 20 0 HE 1 3 0
4E22D831 38 2 u 0 0 20 1 HE 1 3 1
4E22D833 38 2 u 0 0 20 2 HE 1 3 3
4E22D834 38 2 u 0 0 21 0 HE 1 3 4
4E22D835 38 2 u 0 0 21 1 HE 1 3 5
4E22D836 38 2 u 0 0 21 2 HE 1 3 6
4E22D870 38 2 u 0 0 22 0 HE 1 7 0
4E22D871 38 2 u 0 0 22 1 HE 1 7 1
4E22D873 38 2 u 0 0 22 2 HE 1 7 3
4E22D874 38 2 u 0 0 23 0 HE 1 7 4
4E22D875 38 2 u 0 0 23 1 HE 1 7 5
4E22D876 38 2 u 0 0 23 2 HE 1 7 6
4E22C8B0 38 3 u 0 0 0 0 HE -1 11 0
4E22C8B1 38 3 u 0 0 0 1 HE -1 11 1
4E22C8B3 38 3 u 0 0 0 2 HE -1 11 3
4E22C8B4 38 3 u 0 0 1 0 HE -1 11 4
4E22C8B5 38 3 u 0 0 1 1 HE -1 11 5
4E22C8B6 38 3 u 0 0 1 2 HE -1 11 6
4E22C8F0 38 3 u 0 0 2 0 HE -1 15 0
4E22C8F1 38 3 u 0 0 2 1 HE -1 15 1
4E22C8F3 38 3 u 0 0 2 2 HE -1 15 3
4E22C8F4 38 3 u 0 0 3 0 HE -1 15 4
4E22C8F5 38 3 u 0 0 3 1 HE -1 15 5
4E22C8F6 38 3 u 0 0 3 2 HE -1 15 6
4E22D8B0 38 3 u 0 0 4 0 HE 1 11 0
4E22D8B1 38 3 u 0 0 4 1 HE 1 11 1
4E22D8B3 38 3 u 0 0 4 2 HE 1 11 3
4E22D8B4 38 3 u 0 0 5 0 HE 1 11 4
4E22D8B5 38 3 u 0 0 5 1 HE 1 11 5
4E22D8B6 38 3 u 0 0 5 2 HE 1 11 6
4E22D8F0 38 3 u 0 0 6 0 HE 1 15 0
4E22D8F1 38 3 u 0 0 6 1 HE 1 15 1
4E22D8F3 38 3 u 0 0 6 2 HE 1 15 3
4E22D8F4 38 3 u 0 0 7 0 HE 1 15 4
4E22D8F5 38 3 u 0 0 7 1 HE 1 15 5
4E22D8F6 38 3 u 0 0 7 2 HE 1 15 6
4E22C930 38 3 u 0 0 8 0 HE -1 19 0
4E22C931 38 3 u 0 0 8 1 HE -1 19 1
4E22C933 38 3 u 0 0 8 2 HE -1 19 3
4E22C934 38 3 u 0 0 9 0 HE -1 19 4
4E22C935 38 3 u 0 0 9 1 HE -1 19 5
4E22C936 38 3 u 0 0 9 2 HE -1 19 6
4E22C970 38 3 u 0 0 10 0 HE -1 23 0
4E22C971 38 3 u 0 0 10 1 HE -1 23 1
4E22C973 38 3 u 0 0 10 2 HE -1 23 3
4E22C974 38 3 u 0 0 11 0 HE -1 23 4
4E22C975 38 3 u 0 0 11 1 HE -1 23 5
4E22C976 38 3 u 0 0 11 2 HE -1 23 6
4E22D930 38 3 u 0 0 12 0 HE 1 19 0
4E22D931 38 3 u 0 0 12 1 HE 1 19 1
4E22D933 38 3 u 0 0 12 2 HE 1 19 3
4E22D934 38 3 u 0 0 13 0 HE 1 19 4
4E22D935 38 3 u 0 0 13 1 HE 1 19 5
4E22D936 38 3 u 0 0 13 2 HE 1 19 6
4E22D970 38 3 u 0 0 14 0 HE 1 23 0
4E22D971 38 3 u 0 0 14 1 HE 1 23 1
4E22D973 38 3 u 0 0 14 2 HE 1 23 3
4E22D974 38 3 u 0 0 15 0 HE 1 23 4
4E22D975 38 3 u 0 0 15 1 HE 1 23 5
4E22D976 38 3 u 0 0 15 2 HE 1 23 6
4E22C9B0 38 3 u 0 0 16 0 HE -1 27 0
4E22C9B1 38 3 u 0 0 16 1 HE -1 27 1
4E22C9B3 38 3 u 0 0 16 2 HE -1 27 3
4E22C9B4 38 3 u 0 0 17 0 HE -1 27 4
4E22C9B5 38 3 u 0 0 17 1 HE -1 27 5
4E22C9B6 38 3 u 0 0 17 2 HE -1 27 6
4E22C9F0 38 3 u 0 0 18 0 HE -1 31 0
4E22C9F1 38 3 u 0 0 18 1 HE -1 31 1
4E22C9F3 38 3 u 0 0 18 2 HE -1 31 3
4E22C9F4 38 3 u 0 0 19 0 HE -1 31 4
4E22C9F5 38 3 u 0 0 19 1 HE -1 31 5
4E22C9F6 38 3 u 0 0 19 2 HE -1 31 6
4E22D9B0 38 3 u 0 0 20 0 HE 1 27 0
4E22D9B1 38 3 u 0 0 20 1 HE 1 27 1
4E22D9B3 38 3 u 0 0 20 2 HE 1 27 3
4E22D9B4 38 3 u 0 0 21 0 HE 1 27 4
4E22D9B5 38 3 u 0 0 21 1 HE 1 27 5
4E22D9B6 38 3 u 0 0 21 2 HE 1 27 6
4E22D9F0 38 3 u 0 0 22 0 HE 1 31 0
4E22D9F1 38 3 u 0 0 22 1 HE 1 31 1
4E22D9F3 38 3 u 0 0 22 2 HE 1 31 3
4E22D9F4 38 3 u 0 0 23 0 HE 1 31 4
4E22D9F5 38 3 u 0 0 23 1 HE 1 31 5
4E22D9F6 38 3 u 0 0 23 2 HE 1 31 6
4E22CA30 38 4 u 0 0 0 0 HB -1 35 0
4E22CA31 38 4 u 0 0 0 1 HB -1 35 1
4E22CA32 38 4 u 0 0 0 2 HB -1 35 2
4E22CA70 38 4 u 0 0 1 0 HB -1 39 0
4E22CA71 38 4 u 0 0 1 1 HB -1 39 1
4E22CA72 38 4 u 0 0 1 2 HB -1 39 2
4E22DA30 38 4 u 0 0 2 0 HB 1 35 0
4E22DA31 38 4 u 0 0 2 1 HB 1 35 1
4E22DA32 38 4 u 0 0 2 2 HB 1 35 2
4E22DA70 38 4 u 0 0 3 0 HB 1 39 0
4E22DA71 38 4 u 0 0 3 1 HB 1 39 1
4E22DA72 38 4 u 0 0 3 2 HB 1 39 2
4E22CAB0 38 4 u 0 0 4 0 HB -1 43 0
4E22CAB1 38 4 u 0 0 4 1 HB -1 43 1
4E22CAB2 38 4 u 0 0 4 2 HB -1 43 2
4E22CAF0 38 4 u 0 0 5 0 HB -1 47 0
4E22CAF1 38 4 u 0 0 5 1 HB -1 47 1
4E22CAF2 38 4 u 0 0 5 2 HB -1 47 2
4E22DAB0 38 4 u 0 0 6 0 HB 1 43 0
4E22DAB1 38 4 u 0 0 6 1 HB 1 43 1
4E22DAB2 38 4 u 0 0 6 2 HB 1 43 2
4E22DAF0 38 4 u 0 0 7 0 HB 1 47 0
4E22DAF1 38 4 u 0 0 7 1 HB 1 47 1
4E22DAF2 38 4 u 0 0 7 2 HB 1 47 2
4E22CB30 38 4 u 0 0 8 0 HB -1 51 0
4E22CB31 38 4 u 0 0 8 1 HB -1 51 1
4E22CB32 38 4 u 0 0 8 2 HB -1 51 2
4E22CB70 38 4 u 0 0 9 0 HB -1 55 0
4E22CB71 38 4 u 0 0 9 1 HB -1 55 1
4E22CB72 38 4 u 0 0 9 2 HB -1 55 2
4E22DB30 38 4 u 0 0 10 0 HB 1 51 0
4E22DB31 38 4 u 0 0 10 1 HB 1 51 1
4E22DB32 38 4 u 0 0 10 2 HB 1 51 2
4E22DB70 38 4 u 0 0 11 0 HB 1 55 0
4E22DB71 38 4 u 0 0 11 1 HB 1 55 1
4E22DB72 38 4 u 0 0 11 2 HB 1 55 2
4E22CBB0 38 4 u 0 0 12 0 HB -1 59 0
4E22CBB1 38 4 u 0 0 12 1 HB -1 59 1
4E22CBB2 38 4 u 0 0 12 2 HB -1 59 2
4E22CBF0 38 4 u 0 0 13 0 HB -1 63 0
4E22CBF1 38 4 u 0 0 13 1 HB -1 63 1
4E22CBF2 38 4 u 0 0 13 2 HB -1 63 2
4E22DBB0 38 4 u 0 0 14 0 HB 1 59 0
4E22DBB1 38 4 u 0 0 14 1 HB 1 59 1
4E22DBB2 38 4 u 0 0 14 2 HB 1 59 2
4E22DBF0 38 4 u 0 0 15 0 HB 1 63 0
4E22DBF1 38 4 u 0 0 15 1 HB 1 63 1
4E22DBF2 38 4 u 0 0 15 2 HB 1 63 2
4E22CC30 38 4 u 0 0 16 0 HB -1 67 0
4E22CC31 38 4 u 0 0 16 1 HB -1 67 1
4E22CC32 38 4 u 0 0 16 2 HB -1 67 2
4E22CC70 38 4 u 0 0 17 0 HB -1 71 0
4E22CC71 38 4 u 0 0 17 1 HB -1 71 1
4E22CC72 38 4 u 0 0 17 2 HB -1 71 2
4E22DC30 38 4 u 0 0 18 0 HB 1 67 0
4E22DC31 38 4 u 0 0 18 1 HB 1 67 1
4E22DC32 38 4 u 0 0 18 2 HB 1 67 2
4E22DC70 38 4 u 0 0 19 0 HB 1 71 0
4E22DC71 38 4 u 0 0 19 1 HB 1 71 1
4E22DC72 38 4 u 0 0 19 2 HB 1 71 2
4E22C830 38 4 u 0 0 20 0 HB -1 3 0
4E22C831 38 4 u 0 0 20 1 HB -1 3 1
4E22C832 38 4 u 0 0 20 2 HB -1 3 2
4E22C870 38 4 u 0 0 21 0 HB -1 7 0
4E22C871 38 4 u 0 0 21 1 HB -1 7 1
4E22C872 38 4 u 0 0 21 2 HB -1 7 2
4E22D830 38 4 u 0 0 22 0 HB 1 3 0
4E22D831 38 4 u 0 0 22 1 HB 1 3 1
4E22D832 38 4 u 0 0 22 2 HB 1 3 2
4E22D870 38 4 u 0 0 23 0 HB 1 7 0
4E22D871 38 4 u 0 0 23 1 HB 1 7 1
4E22D872 38 4 u 0 0 23 2 HB 1 7 2
4E22C8B0 38 5 u 0 0 0 0 HB -1 11 0
4E22C8B1 38 5 u 0 0 0 1 HB -1 11 1
4E22C8B2 38 5 u 0 0 0 2 HB -1 11 2
4E22C8F0 38 5 u 0 0 1 0 HB -1 15 0
4E22C8F1 38 5 u 0 0 1 1 HB -1 15 1
4E22C8F2 38 5 u 0 0 1 2 HB -1 15 2
4E22D8B0 38 5 u 0 0 2 0 HB 1 11 0
4E22D8B1 38 5 u 0 0 2 1 HB 1 11 1
4E22D8B2 38 5 u 0 0 2 2 HB 1 11 2
4E22D8F0 38 5 u 0 0 3 0 HB 1 15 0
4E22D8F1 38 5 u 0 0 3 1 HB 1 15 1
4E22D8F2 38 5 u 0 0 3 2 HB 1 15 2
4E22C930 38 5 u 0 0 4 0 HB -1 19 0
4E22C931 38 5 u 0 0 4 1 HB -1 19 1
4E22C932 38 5 u 0 0 4 2 HB -1 19 2
4E22C970 38 5 u 0 0 5 0 HB -1 23 0
4E22C971 38 5 u 0 0 5 1 HB -1 23 1
4E22C972 38 5 u 0 0 5 2 HB -1 23 2
4E22D930 38 5 u 0 0 6 0 HB 1 19 0
4E22D931 38 5 u 0 0 6 1 HB 1 19 1
4E22D932 38 5 u 0 0 6 2 HB 1 19 2
4E22D970 38 5 u 0 0 7 0 HB 1 23 0
4E22D971 38 5 u 0 0 7 1 HB 1 23 1
4E22D972 38 5 u 0 0 7 2 HB 1 23 2
4E22C9B0 38 5 u 0 0 8 0 HB -1 27 0
4E22C9B1 38 5 u 0 0 8 1 HB -1 27 1
4E22C9B2 38 5 u 0 0 8 2 HB -1 27 2
4E22C9F0 38 5 u 0 0 9 0 HB -1 31 0
4E22C9F1 38 5 u 0 0 9 1 HB -1 31 1
4E22C9F2 38 5 u 0 0 9 2 HB -1 31 2
