#side eta phi dphi depth det rbx wedge Box_type W_cable tower row col PMT base-board anode S-coax-PMT S-coax-QIE R-coax-PMT R-coax-QIE QIE rm qie qie-conn qie_ch qie_fib fib_ch trunk_fib trunk crate uHTR uHTR-MTP uHTR_fib fedid QIEid LED
1 33 39 2 4 HF ngHFP05 11 B 1 H18 4 4 7 B 3 9 4 10 3 QIE10 -1 4 TOP 2 4 1 1 3HF14200P7F04/0/S2F07/MTP3 36 3 0 0 1132 500613 1
1 31 39 2 4 HF ngHFP05 11 B 1 H16 5 4 8 C 3 5 8 6 7 QIE10 -1 4 TOP 4 4 3 1 3HF14200P7F04/0/S2F07/MTP3 36 3 0 0 1132 500613 1
1 29 39 2 4 HF ngHFP05 11 B 1 H14 6 4 7 C 3 1 12 2 11 QIE10 -1 4 TOP 6 5 1 2 3HF14200P7F04/0/S2F07/MTP3 36 3 0 1 1132 500613 1
1 34 39 2 4 HF ngHFP05 11 B 1 H19 4 2 3 B 3 21 16 22 15 QIE10 -1 4 TOP 8 5 3 2 3HF14200P7F04/0/S2F07/MTP3 36 3 0 1 1132 500613 1
1 32 39 2 4 HF ngHFP05 11 B 1 H17 5 2 4 C 3 17 20 18 19 QIE10 -1 4 TOP 10 6 1 3 3HF14200P7F04/0/S2F07/MTP3 36 3 0 2 1132 500613 1
1 30 39 2 4 HF ngHFP05 11 B 1 H15 6 2 3 C 3 13 24 14 23 QIE10 -1 4 TOP 12 6 3 3 3HF14200P7F04/0/S2F07/MTP3 36 3 0 2 1132 500613 1
1 33 39 2 3 HF ngHFP05 11 B 2 E18 4 3 5 B 3 9 4 10 3 QIE10 -1 4 BOT 14 7 1 4 3HF14200P7F04/0/S2F07/MTP3 36 3 0 3 1132 500613 0
1 31 39 2 3 HF ngHFP05 11 B 2 E16 5 3 6 C 3 5 8 6 7 QIE10 -1 4 BOT 16 7 3 4 3HF14200P7F04/0/S2F07/MTP3 36 3 0 3 1132 500613 0
1 29 39 2 3 HF ngHFP05 11 B 2 E14 6 3 5 C 3 1 12 2 11 QIE10 -1 4 BOT 18 8 1 5 3HF14200P7F04/0/S2F07/MTP3 36 3 0 4 1132 500613 0
1 34 39 2 2 HF HFP07 11 B 2 H19 4 2 3 B 1 23 14 24 13 QIE10 -1 4 BOT 19 8 2 5 3HF14200P7F04/0/S2F07/MTP3 36 3 0 4 1132 500613 1
1 34 39 2 3 HF ngHFP05 11 B 2 E19 4 1 1 B 3 21 16 22 15 QIE10 -1 4 BOT 20 8 3 5 3HF14200P7F04/0/S2F07/MTP3 36 3 0 4 1132 500613 0
1 32 39 2 3 HF ngHFP05 11 B 2 E17 5 1 2 C 3 17 20 18 19 QIE10 -1 4 BOT 22 9 1 6 3HF14200P7F04/0/S2F07/MTP3 36 3 0 5 1132 500613 1
1 30 39 2 2 HF HFP07 11 B 2 H15 6 2 3 C 1 15 22 16 21 QIE10 -1 4 BOT 23 9 2 6 3HF14200P7F04/0/S2F07/MTP3 36 3 0 5 1132 500613 1
1 30 39 2 3 HF ngHFP05 11 B 2 E15 6 1 1 C 3 13 24 14 23 QIE10 -1 4 BOT 24 9 3 6 3HF14200P7F04/0/S2F07/MTP3 36 3 0 5 1132 500613 1
1 41 39 4 4 HF ngHFP05 11 B 3 H13 1 4 8 A 3 9 4 10 3 QIE10 -1 5 TOP 2 4 1 7 3HF14200P7F04/0/S2F07/MTP3 36 3 0 6 1132 500615 1
1 37 39 2 4 HF ngHFP05 11 B 3 H22 2 4 7 A 3 5 8 6 7 QIE10 -1 5 TOP 4 4 3 7 3HF14200P7F04/0/S2F07/MTP3 36 3 0 6 1132 500615 1
1 35 39 2 4 HF ngHFP05 11 B 3 H20 3 4 8 B 3 1 12 2 11 QIE10 -1 5 TOP 6 5 1 8 3HF14200P7F04/0/S2F07/MTP3 36 3 0 7 1132 500615 1
1 39 39 2 4 HF ngHFP05 11 B 3 H24 1 2 4 A 3 21 16 22 15 QIE10 -1 5 TOP 8 5 3 8 3HF14200P7F04/0/S2F07/MTP3 36 3 0 7 1132 500615 1
1 38 39 2 4 HF ngHFP05 11 B 3 H23 2 2 3 A 3 17 20 18 19 QIE10 -1 5 TOP 10 6 1 9 3HF14200P7F04/0/S2F07/MTP3 36 3 0 8 1132 500615 1
1 36 39 2 4 HF ngHFP05 11 B 3 H21 3 2 4 B 3 13 24 14 23 QIE10 -1 5 TOP 12 6 3 9 3HF14200P7F04/0/S2F07/MTP3 36 3 0 8 1132 500615 1
1 41 39 4 3 HF ngHFP05 11 B 4 E13 1 3 6 A 3 9 4 10 3 QIE10 -1 5 BOT 14 7 1 10 3HF14200P7F04/0/S2F07/MTP3 36 3 0 9 1132 500615 0
1 37 39 2 3 HF ngHFP05 11 B 4 E22 2 3 5 A 3 5 8 6 7 QIE10 -1 5 BOT 16 7 3 10 3HF14200P7F04/0/S2F07/MTP3 36 3 0 9 1132 500615 0
