# crate slot s/n channel 4 x offsets capID0 4 x offsets capID1 4 x offsets capID2 4 x offsets capID3 4 x slopes capID0 4 x slopes capID1 4 x slopes capID2 4 x slopes capID3
4 4 613 1 0.143921 -1.289803 -12.431615 -496.827409 0.218875 0.885538 -8.544746 -422.592418 0.423994 0.398123 -1.509946 -445.788725 0.183686 -0.031865 23.626944 -356.517106 0.299757 0.301753 0.300709 0.312711 0.300632 0.301429 0.300512 0.312179 0.300803 0.300880 0.299925 0.312089 0.299370 0.301076 0.300205 0.311542 
4 4 613 2 0.127107 0.597211 24.219680 -219.888788 0.584230 -1.090298 48.705164 -221.542897 0.167075 0.191662 37.500275 -208.631811 0.649945 -3.257555 15.854812 -185.997265 0.297609 0.298313 0.298706 0.310899 0.297772 0.297992 0.298725 0.309711 0.294992 0.297700 0.297853 0.309935 0.296350 0.297411 0.297971 0.310232 
4 4 613 3 0.234970 -1.550570 -11.777601 -727.952977 0.212771 -0.291694 -25.667862 -848.291847 0.394410 -0.910416 4.441144 -769.112176 0.255033 -1.369759 -5.245088 -744.367830 0.300913 0.300606 0.300889 0.310414 0.300358 0.300205 0.300610 0.311752 0.297493 0.299789 0.299865 0.311014 0.299478 0.299623 0.300015 0.307465 
4 4 613 4 0.135525 -5.840122 -10.138536 -307.717413 0.199184 -3.293764 1.113988 -452.820462 0.071396 -4.159642 0.491879 -326.656077 0.029258 -4.750539 -5.788082 -478.068437 0.300479 0.302705 0.299199 0.306451 0.300230 0.301648 0.298841 0.307714 0.299553 0.301292 0.298677 0.306561 0.299691 0.301054 0.298387 0.306916 
4 4 613 5 0.326534 -1.052333 3.730912 -277.722875 0.019929 -1.153819 22.204141 -287.986000 0.050397 -0.218838 -1.270296 -484.810485 0.265053 -3.087809 17.877304 -436.395907 0.298657 0.303020 0.300362 0.310566 0.297639 0.302081 0.299900 0.312589 0.297145 0.302142 0.299161 0.311877 0.297465 0.301198 0.298940 0.310233 
4 4 613 6 -0.848680 2.613646 27.034298 -285.689029 -0.528135 2.207310 45.616390 -248.126584 -0.698722 1.382323 39.869236 -457.940410 -0.348573 1.998522 54.794268 -235.793681 0.297032 0.299553 0.302284 0.312868 0.296643 0.298824 0.301573 0.311309 0.294403 0.298870 0.301159 0.312635 0.297051 0.298309 0.300821 0.310939 
4 4 613 7 0.054205 1.018012 3.615968 -85.788863 0.567955 5.754253 29.677373 -119.740500 0.407139 3.497350 8.383829 -265.091711 0.230318 2.034279 36.066646 -234.818035 0.302032 0.300888 0.294962 0.314108 0.301898 0.300501 0.294362 0.311816 0.302256 0.299504 0.294161 0.312865 0.300364 0.300164 0.293677 0.312151 
4 4 613 8 0.028707 -0.414756 28.945985 -213.621357 -0.368161 3.446632 53.057914 -370.348971 -0.379706 -1.376081 25.689912 -254.035768 0.137557 0.236764 54.048579 -252.148117 0.301514 0.302154 0.302045 0.310960 0.301635 0.301378 0.301708 0.309212 0.301343 0.301085 0.301145 0.308895 0.300200 0.301026 0.300823 0.310187 
4 4 613 9 0.087248 -0.547612 32.833384 -468.356289 -0.087339 1.774600 30.655175 -514.693859 -0.071622 0.268351 33.514449 -201.586631 0.588913 3.543623 26.610292 -169.690988 0.301059 0.301297 0.296979 0.312059 0.300851 0.300113 0.296378 0.311179 0.299699 0.300200 0.295974 0.310312 0.300433 0.299750 0.295302 0.310199 
4 4 613 10 0.635630 -5.483599 -6.424686 -676.022380 0.643370 -3.602532 -3.733609 -631.806286 0.677588 -1.459649 14.092315 -648.258235 0.444723 -3.408572 -4.590562 -643.963355 0.309915 0.306551 0.307358 0.318301 0.308640 0.305871 0.306501 0.317319 0.307631 0.306028 0.306444 0.317390 0.308768 0.305105 0.304908 0.317279 
4 4 613 11 -0.105201 -4.774098 1.696402 -649.287510 0.304548 -1.941563 8.495382 -533.852593 -0.152669 -3.723392 -14.106838 -569.957807 -0.108325 -4.472911 -8.966849 -519.844458 0.300579 0.299846 0.302623 0.313612 0.300766 0.298927 0.302073 0.314314 0.298881 0.298890 0.302352 0.313194 0.299398 0.298810 0.302135 0.314006 
4 4 613 12 0.339167 0.290670 16.308252 -394.108584 0.249268 0.235389 3.987960 -483.460817 0.550490 -0.940220 35.754520 -468.937084 0.355151 -0.293367 8.454343 -544.984778 0.307021 0.307868 0.308781 0.321465 0.306223 0.307392 0.307394 0.322111 0.305578 0.307140 0.307554 0.319981 0.305225 0.307023 0.307302 0.320631 
4 4 613 13 0.114077 -2.207758 12.442777 -484.208873 0.542288 -4.170331 19.384879 -452.187443 0.640865 -2.762932 -20.857926 -352.068429 0.602845 -3.514044 -0.709462 -121.398554 0.302367 0.300122 0.302496 0.309800 0.302070 0.300432 0.301878 0.309339 0.301973 0.299967 0.302038 0.308425 0.301351 0.299686 0.301512 0.307380 
4 4 613 14 -1.825817 -0.118527 -6.126944 -462.435491 -2.075905 1.482004 14.006504 -395.056797 -1.562559 1.713874 15.470537 -494.173827 -1.494727 -2.440883 3.968664 -411.611129 0.299654 0.304497 0.305896 0.315910 0.300076 0.304177 0.305056 0.315096 0.299922 0.304167 0.304853 0.314768 0.298609 0.304394 0.304293 0.314234 
4 4 613 15 0.014515 -0.484112 13.296905 91.622139 0.005191 -2.023115 7.504865 -47.599783 0.181550 -0.624299 5.548956 -186.184923 -0.002794 -1.211930 23.034860 -9.268714 0.301420 0.301990 0.302982 0.301663 0.300227 0.301064 0.302617 0.301382 0.298154 0.300450 0.302388 0.302640 0.300195 0.300241 0.301901 0.300039 
4 4 613 16 0.304101 0.066277 7.774995 -480.202021 0.161474 -0.667613 10.410798 -277.028924 0.192174 -1.845423 14.342323 -453.176265 0.246705 -1.719846 8.472616 -275.626751 0.300594 0.302882 0.301687 0.314077 0.299845 0.302103 0.300653 0.308522 0.299554 0.302421 0.300827 0.313219 0.299343 0.301631 0.299636 0.308083 
4 4 613 17 -0.640393 5.313630 62.875389 -4.472463 -0.822054 8.872143 57.086355 21.602386 -0.339242 5.137042 52.645017 89.062087 -0.689259 5.332053 62.195106 -223.800835 0.297796 0.299752 0.299329 0.311162 0.296539 0.299646 0.299228 0.309847 0.293785 0.299314 0.298755 0.310179 0.294838 0.299055 0.298115 0.311235 
4 4 613 18 -0.313134 0.121654 2.710243 -70.917913 0.173079 1.421706 10.523838 -228.870824 -0.175608 1.075999 33.518047 -101.381842 -0.268130 -2.636490 9.594022 -168.248233 0.298854 0.299456 0.300015 0.306890 0.298243 0.298698 0.299656 0.306693 0.297338 0.298673 0.299034 0.305270 0.297553 0.297979 0.298880 0.305239 
4 4 613 19 0.387992 -7.259178 -15.693347 -253.360797 0.185392 0.033623 24.551156 -394.702151 0.137191 -3.982135 -2.280997 -237.807654 0.256704 -4.639538 -2.446210 -441.351504 0.303471 0.303762 0.300038 0.308671 0.303514 0.303065 0.299565 0.307450 0.302495 0.301927 0.299438 0.305883 0.302822 0.303012 0.299043 0.306832 
4 4 613 20 0.402083 -0.671327 7.370558 -431.125642 0.399304 -1.922722 4.389022 -565.902785 0.252373 -0.372317 2.245915 -379.513533 0.525337 0.216198 5.793727 -405.937566 0.298638 0.298407 0.299577 0.310133 0.297377 0.297022 0.299458 0.309079 0.297938 0.297069 0.298863 0.309964 0.298276 0.297124 0.298784 0.309284 
4 4 613 21 0.512661 -1.347353 15.591548 -470.809703 0.351924 2.094164 31.760392 -595.940390 0.310443 3.541517 30.178219 -555.706755 0.448624 0.048159 30.601342 -379.522235 0.307533 0.307419 0.306153 0.320244 0.306904 0.306462 0.304997 0.319255 0.307387 0.306167 0.304907 0.321135 0.305303 0.306669 0.304584 0.318761 
4 4 613 22 0.018607 -1.717089 -32.305089 -640.973384 0.041356 -1.364930 0.572576 -435.840394 0.125999 -3.046364 2.038383 -603.180365 -0.045212 -1.484630 -25.552615 -762.299838 0.300088 0.301569 0.301960 0.316087 0.299667 0.300762 0.301309 0.314543 0.298429 0.300486 0.300217 0.315421 0.299280 0.300654 0.300079 0.314844 
4 4 613 23 0.480445 -1.274730 -14.786590 -473.273364 0.592959 -0.685874 36.066415 -431.199027 0.605582 -1.747560 -4.562424 -417.214489 0.620307 -2.109855 16.589958 -207.485140 0.306069 0.304902 0.308429 0.318457 0.305587 0.304181 0.307961 0.317229 0.304096 0.303837 0.307483 0.316321 0.303083 0.303722 0.306817 0.315215 
4 4 613 24 -1.387679 -2.217798 -17.351519 -613.230812 -1.392466 -3.939425 -11.427684 -925.538543 -0.921614 -3.674796 -8.857219 -990.353018 -1.361586 -5.962223 -6.815526 -898.761776 0.297138 0.301009 0.298881 0.318836 0.296297 0.300484 0.298377 0.320496 0.296316 0.300212 0.297855 0.320108 0.295900 0.300247 0.297188 0.319645 
4 5 615 1 0.351724 -0.371576 6.641111 -529.130210 0.183778 2.330184 12.784566 -507.528076 0.291757 -1.533112 7.212361 -488.056211 0.525696 -0.978535 13.670828 -511.844031 0.309007 0.304799 0.310510 0.320166 0.307463 0.304097 0.310307 0.319350 0.305647 0.304181 0.310311 0.318913 0.306088 0.303958 0.310097 0.319116 
4 5 615 2 0.267423 -5.906910 17.182556 -728.957630 0.237150 -2.538010 -5.445465 -694.860396 0.496318 -0.889626 10.818152 -704.877298 0.260774 -3.413615 7.700852 -823.477101 0.306530 0.304372 0.307159 0.317098 0.305713 0.303212 0.306642 0.316895 0.305996 0.302876 0.306344 0.315283 0.305002 0.303704 0.306224 0.315099 
4 5 615 3 0.201685 -1.923446 14.638108 -287.365350 0.259372 0.802253 28.430924 -234.481709 0.233704 -0.287123 48.778844 -338.007912 0.235711 -3.625233 28.416218 -560.468939 0.307791 0.307429 0.308004 0.313612 0.307270 0.306809 0.307219 0.313091 0.306252 0.306511 0.307072 0.313060 0.307383 0.306358 0.306603 0.313176 
4 5 615 4 0.390576 -0.029090 6.200007 -415.502755 -0.179123 -1.625680 9.569905 -379.242556 -0.166076 0.660143 8.571820 -389.026450 0.506041 2.063266 0.428984 -351.881885 0.305311 0.306563 0.304854 0.310752 0.304644 0.305735 0.304438 0.309621 0.303852 0.305977 0.303917 0.310317 0.304008 0.305172 0.303382 0.309765 
4 5 615 5 0.413961 -1.362749 -23.368864 -461.643785 0.020241 0.854442 -5.790986 -355.628736 -0.088968 0.066568 -2.330939 -473.629754 0.025068 -0.637964 -1.464220 -528.888891 0.305456 0.306801 0.300251 0.312531 0.304619 0.306492 0.299669 0.312649 0.304232 0.306204 0.299442 0.314014 0.304854 0.305680 0.299233 0.312313 
