#s/n channel shunt 4 x offsets capID0 4 x offsets capID1 4 x offsets capID2 4 x offsets capID3 4 x slopes capID0 4 x slopes capID1 4 x slopes capID2 4 x slopes capID3
600429 1 1 -0.0339 1.19972 -21.999 -523.77 -0.1088 3.01685 9.10326 -469.35 0.00606 3.86926 -5.9523 -502.93 -0.1056 -1.3577 4.05088 -581.32 0.30558 0.30408 0.29870 0.30342 0.30560 0.30449 0.29730 0.30351 0.30399 0.30419 0.29666 0.30284 0.30446 0.30431 0.29648 0.30271 
600429 1 1.5 -0.0226 0.79982 -14.666 -349.18 -0.0725 2.01123 6.06884 -312.90 0.00404 2.57951 -3.9682 -335.29 -0.0704 -0.9052 2.70059 -387.55 0.20372 0.20272 0.19914 0.20228 0.20374 0.20299 0.19820 0.20234 0.20266 0.20279 0.19777 0.20189 0.20297 0.20287 0.19765 0.20181 
600429 1 2 -0.0169 0.59986 -10.999 -261.88 -0.0544 1.50842 4.55163 -234.67 0.00303 1.93463 -2.9762 -251.46 -0.0528 -0.6789 2.02544 -290.66 0.15279 0.15204 0.14935 0.15171 0.15280 0.15224 0.14865 0.15176 0.15200 0.15209 0.14833 0.15142 0.15223 0.15216 0.14824 0.15136 
600429 1 3 -0.0113 0.39991 -7.3333 -174.59 -0.0362 1.00562 3.03442 -156.45 0.00202 1.28975 -1.9841 -167.64 -0.0352 -0.4526 1.35029 -193.77 0.10186 0.10136 0.09957 0.10114 0.10187 0.10150 0.09910 0.10117 0.10133 0.10140 0.09889 0.10095 0.10149 0.10144 0.09883 0.10090 
600429 1 4 -0.0084 0.29993 -5.4999 -130.94 -0.0272 0.75421 2.27582 -117.33 0.00152 0.96732 -1.4881 -125.73 -0.0264 -0.3394 1.01272 -145.33 0.07640 0.07602 0.07468 0.07586 0.07640 0.07612 0.07433 0.07588 0.07600 0.07605 0.07417 0.07571 0.07612 0.07608 0.07412 0.07568 
600429 1 5 -0.0067 0.23994 -4.3999 -104.75 -0.0217 0.60337 1.82065 -93.870 0.00121 0.77385 -1.1904 -100.58 -0.0211 -0.2715 0.81018 -116.26 0.06112 0.06082 0.05974 0.06068 0.06112 0.06090 0.05946 0.06070 0.06080 0.06084 0.05933 0.06057 0.06089 0.06086 0.05930 0.06054 
600429 1 6 -0.0056 0.19995 -3.6666 -87.296 -0.0181 0.50281 1.51721 -78.225 0.00101 0.64488 -0.9920 -83.823 -0.0176 -0.2263 0.67515 -96.888 0.05093 0.05068 0.04978 0.05057 0.05093 0.05075 0.04955 0.05059 0.05067 0.05070 0.04944 0.05047 0.05074 0.05072 0.04941 0.05045 
600429 1 7 -0.0048 0.17139 -3.1428 -74.825 -0.0155 0.43098 1.30047 -67.050 0.00087 0.55275 -0.8503 -71.848 -0.0151 -0.1939 0.57870 -83.047 0.04365 0.04344 0.04267 0.04335 0.04366 0.04350 0.04247 0.04336 0.04343 0.04346 0.04238 0.04326 0.04349 0.04347 0.04235 0.04324 
600429 1 8 -0.0042 0.14997 -2.7499 -65.472 -0.0136 0.37711 1.13791 -58.669 0.00076 0.48366 -0.7440 -62.867 -0.0132 -0.1697 0.50636 -72.666 0.03820 0.03801 0.03734 0.03793 0.03820 0.03806 0.03716 0.03794 0.03800 0.03802 0.03708 0.03786 0.03806 0.03804 0.03706 0.03784 
600429 1 9 -0.0037 0.13330 -2.4444 -58.197 -0.0120 0.33521 1.01147 -52.150 0.00067 0.42992 -0.6613 -55.882 -0.0117 -0.1508 0.45010 -64.592 0.03395 0.03379 0.03319 0.03371 0.03396 0.03383 0.03303 0.03372 0.03378 0.03380 0.03296 0.03365 0.03383 0.03381 0.03294 0.03363 
600429 1 10 -0.0033 0.11997 -2.1999 -52.377 -0.0108 0.30168 0.91033 -46.935 0.00061 0.38693 -0.5952 -50.293 -0.0105 -0.1357 0.40509 -58.132 0.03056 0.03041 0.02987 0.03034 0.03056 0.03045 0.02973 0.03035 0.03040 0.03042 0.02967 0.03028 0.03045 0.03043 0.02965 0.03027 
600429 1 11 -0.0030 0.10907 -1.9999 -47.616 -0.0098 0.27426 0.82757 -42.668 0.00055 0.35175 -0.5411 -45.721 -0.0096 -0.1234 0.36826 -52.848 0.02778 0.02764 0.02715 0.02758 0.02778 0.02768 0.02703 0.02759 0.02764 0.02765 0.02697 0.02753 0.02768 0.02766 0.02695 0.02752 
600429 1 11.5 -0.0029 0.10432 -1.9130 -45.545 -0.0094 0.26233 0.79159 -40.813 0.00053 0.33646 -0.5176 -43.733 -0.0091 -0.1180 0.35225 -50.550 0.02657 0.02644 0.02597 0.02638 0.02657 0.02648 0.02585 0.02639 0.02643 0.02645 0.02580 0.02633 0.02647 0.02646 0.02578 0.02632 
600429 2 1 0.13959 -3.5724 -7.6823 -117.59 0.42021 -2.5639 41.4116 29.3870 0.40188 -3.0654 7.86475 10.1752 0.47092 -1.6866 36.2830 122.330 0.29780 0.30550 0.30356 0.30481 0.29778 0.30709 0.30184 0.30306 0.29693 0.30604 0.30143 0.30327 0.29724 0.30609 0.30087 0.30285 
600429 2 1.5 0.09306 -2.3816 -5.1215 -78.393 0.28014 -1.7093 27.6077 19.5913 0.26792 -2.0436 5.24317 6.78349 0.31395 -1.1244 24.1886 81.5538 0.19853 0.20367 0.20237 0.20320 0.19852 0.20472 0.20123 0.20204 0.19795 0.20403 0.20095 0.20218 0.19816 0.20406 0.20058 0.20190 
600429 2 2 0.06979 -1.7862 -3.8411 -58.795 0.21011 -1.2820 20.7058 14.6935 0.20094 -1.5327 3.93238 5.08762 0.23546 -0.8433 18.1415 61.1653 0.14890 0.15275 0.15178 0.15240 0.14889 0.15354 0.15092 0.15153 0.14846 0.15302 0.15072 0.15163 0.14862 0.15305 0.15044 0.15143 
600429 2 3 0.04653 -1.1908 -2.5607 -39.196 0.14007 -0.8546 13.8038 9.79568 0.13396 -1.0218 2.62158 3.39175 0.15697 -0.5622 12.0943 40.7769 0.09927 0.10183 0.10119 0.10160 0.09926 0.10236 0.10061 0.10102 0.09898 0.10201 0.10048 0.10109 0.09908 0.10203 0.10029 0.10095 
600429 2 4 0.03490 -0.8931 -1.9205 -29.397 0.10505 -0.6410 10.3529 7.34676 0.10047 -0.7663 1.96619 2.54381 0.11773 -0.4216 9.07076 30.5826 0.07445 0.07638 0.07589 0.07620 0.07445 0.07677 0.07546 0.07577 0.07423 0.07651 0.07536 0.07582 0.07431 0.07652 0.07522 0.07571 
600429 2 5 0.02792 -0.7145 -1.5364 -23.518 0.08404 -0.5128 8.28234 5.87741 0.08038 -0.6130 1.57295 2.03505 0.09418 -0.3373 7.25661 24.4661 0.05956 0.06110 0.06071 0.06096 0.05956 0.06142 0.06037 0.06061 0.05939 0.06121 0.06029 0.06065 0.05945 0.06122 0.06017 0.06057 
600429 2 6 0.02326 -0.5954 -1.2803 -19.598 0.07004 -0.4273 6.90195 4.89784 0.06698 -0.5109 1.31079 1.69587 0.07849 -0.2811 6.04717 20.3884 0.04963 0.05092 0.05059 0.05080 0.04963 0.05118 0.05031 0.05051 0.04949 0.05101 0.05024 0.05054 0.04954 0.05102 0.05015 0.05048 
600429 2 7 0.01994 -0.5103 -1.0974 -16.798 0.06003 -0.3662 5.91595 4.19815 0.05741 -0.4379 1.12354 1.45361 0.06727 -0.2409 5.18329 17.4758 0.04254 0.04364 0.04337 0.04354 0.04254 0.04387 0.04312 0.04329 0.04242 0.04372 0.04306 0.04332 0.04246 0.04373 0.04298 0.04326 
600429 2 8 0.01745 -0.4465 -0.9602 -14.698 0.05253 -0.3205 5.17646 3.67338 0.05023 -0.3831 0.98309 1.27190 0.05886 -0.2108 4.53538 15.2913 0.03722 0.03819 0.03794 0.03810 0.03722 0.03839 0.03773 0.03788 0.03712 0.03825 0.03768 0.03791 0.03716 0.03826 0.03761 0.03786 
600429 2 9 0.01551 -0.3969 -0.8535 -13.065 0.04669 -0.2848 4.60130 3.26523 0.04465 -0.3406 0.87386 1.13058 0.05232 -0.1874 4.03145 13.5923 0.03309 0.03394 0.03373 0.03387 0.03309 0.03412 0.03354 0.03367 0.03299 0.03400 0.03349 0.03370 0.03303 0.03401 0.03343 0.03365 
600429 2 10 0.01396 -0.3572 -0.7682 -11.759 0.04202 -0.2564 4.14117 2.93870 0.04019 -0.3065 0.78648 1.01752 0.04709 -0.1686 3.62830 12.2330 0.02978 0.03055 0.03036 0.03048 0.02978 0.03071 0.03018 0.03031 0.02969 0.03060 0.03014 0.03033 0.02972 0.03061 0.03009 0.03029 
