# crate slot s/n channel 4 x offsets capID0 4 x offsets capID1 4 x offsets capID2 4 x offsets capID3 4 x slopes capID0 4 x slopes capID1 4 x slopes capID2 4 x slopes capID3
4 4 500633 1 0.545040 0.445650 32.744851 9.904848 1.028518 5.340255 17.608912 -29.152397 0.171730 2.431027 36.670887 -60.723939 0.377440 3.682699 38.213723 -43.501809 0.305823 0.311054 0.313563 0.317255 0.304542 0.310665 0.313900 0.317301 0.306768 0.310690 0.312973 0.315345 0.305574 0.310459 0.312965 0.315221 
4 4 500633 2 -0.058981 6.314048 78.019003 -17.097286 -0.222081 11.234880 84.510222 -277.486064 0.138158 3.477484 50.101499 -149.392011 0.041331 9.898122 80.957275 -102.675983 0.303404 0.307074 0.309007 0.312610 0.303423 0.307180 0.308013 0.312775 0.301655 0.306271 0.308576 0.311718 0.301956 0.305551 0.307990 0.312813 
4 4 500633 3 0.433754 -2.211087 5.252451 -962.809589 0.578411 -2.706496 -13.367785 -751.214832 0.455017 -4.140002 -12.475351 -655.220496 0.393108 0.175829 -11.515511 -681.263600 0.305617 0.305170 0.312240 0.316791 0.304771 0.304965 0.311036 0.316824 0.304415 0.305095 0.311211 0.313904 0.304212 0.304397 0.311247 0.315137 
4 4 500633 4 0.059195 -0.602534 -11.339291 -307.308808 0.314474 -0.819995 -7.538165 -282.723512 0.137770 -0.164182 -3.501775 -343.180602 0.174547 -2.438620 -3.325290 -169.327156 0.307301 0.310984 0.312332 0.312539 0.306494 0.310200 0.311701 0.311775 0.306207 0.309996 0.310619 0.313490 0.306263 0.309441 0.310436 0.309081 
4 4 500633 5 -0.159759 0.712237 38.211268 -464.586805 -0.138438 1.963788 42.215204 -557.122299 0.757512 3.757460 36.109131 -421.696555 0.759651 4.465295 28.378520 -527.024636 0.301207 0.304479 0.307563 0.314041 0.300829 0.304359 0.307063 0.314680 0.299211 0.303907 0.307687 0.313277 0.299207 0.304449 0.307037 0.314190 
4 4 500633 6 0.373059 1.829710 9.766391 -330.088174 0.714629 2.091358 28.966545 -283.669733 0.726613 5.773862 22.869635 -281.329002 -0.035551 -2.866681 18.964332 -179.348319 0.303546 0.304576 0.306424 0.310327 0.303225 0.304677 0.306177 0.311683 0.303546 0.304546 0.307211 0.308626 0.302205 0.304926 0.305847 0.308944 
4 4 500633 7 0.459966 0.833554 1.745550 -285.357115 -0.109736 -0.003530 12.534039 -326.634952 0.094158 4.484858 7.635487 -84.537626 0.190117 0.162032 5.447725 -357.803964 0.303787 0.306539 0.310342 0.307089 0.303292 0.306081 0.309671 0.310507 0.302150 0.305553 0.310051 0.307244 0.302395 0.306239 0.309663 0.308548 
4 4 500633 8 0.377957 1.508308 57.329114 -39.456339 0.300355 4.660497 33.032289 -118.407637 0.006810 4.899144 31.994943 -241.677537 0.360226 0.413745 24.652457 -188.207928 0.316262 0.320407 0.319917 0.323418 0.315827 0.320003 0.319045 0.322918 0.314898 0.320009 0.318470 0.323576 0.314307 0.319888 0.318406 0.324182 
4 4 500633 9 -0.287676 3.268881 21.920926 153.029075 -0.098612 3.537778 47.298204 -83.505715 0.009012 5.591244 26.903645 -84.575189 -0.520110 4.822633 32.189185 -45.888380 0.307525 0.309906 0.314978 0.310107 0.307761 0.309553 0.314082 0.312027 0.306253 0.309196 0.313814 0.309893 0.307171 0.308847 0.313593 0.309075 
4 4 500633 10 -0.083252 5.291941 34.278400 -380.396326 -0.048163 -1.241827 33.855422 -364.706082 0.721213 7.030640 47.072917 -207.234261 -0.049230 2.404521 26.104543 -196.557089 0.308693 0.310063 0.309264 0.320761 0.308013 0.310130 0.308866 0.320162 0.306757 0.309477 0.308734 0.319089 0.307881 0.309503 0.308844 0.318736 
4 4 500633 11 0.600075 0.419371 27.593061 -601.577795 0.521177 -0.017548 -3.043228 -660.013682 0.597042 2.037642 0.419766 -615.815905 0.705489 0.830351 33.103341 -606.067471 0.304508 0.306763 0.305932 0.308216 0.304049 0.306372 0.306106 0.311450 0.303665 0.306099 0.305637 0.308103 0.303475 0.306462 0.304498 0.308074 
4 4 500633 12 0.218127 0.533986 42.969200 -538.447313 0.575967 0.494480 46.313078 -399.177219 0.169814 1.572811 37.153212 -457.732625 0.300547 2.479641 58.639679 -437.303769 0.306012 0.306679 0.312216 0.322476 0.305093 0.306194 0.311331 0.320545 0.304861 0.305681 0.311906 0.320820 0.305925 0.306012 0.310920 0.320903 
4 4 500633 13 0.289371 4.254303 51.663354 -308.466716 0.053387 2.726098 27.279963 -81.939602 -0.065295 6.629369 49.147588 -79.196097 -0.034278 2.557424 28.517337 -215.908919 0.302446 0.306128 0.306098 0.311205 0.302605 0.306502 0.305895 0.311866 0.302561 0.305559 0.305988 0.311203 0.301714 0.305730 0.305425 0.310814 
