Crate,  Slot,   Unique ID,              S/N
HFM01,	3,	0x64000000 0xba037570,	500727
HFM01,	4,	0x5e000000 0xb9f82870,  500712
HFM01,	5,	0xb0000000 0xba194e70,	500710
HFM01,	6,	0x87000000 0xba1d2b70,	500736
HFM01,	10,	0xba000000 0xb9ff9e70,	500636
HFM01,	11,	0xa9000000 0xba088f70,	500777
HFM01,	12,	0xf1000000 0xb9ebfb70,	500607
HFM01,	13,	0xcc000000 0xb9e53b70,	500604
HFM01,	14,	0xe9000000 0xb9fedb70,  500675
HFM02,	3,	0x7b000000 0xb9e93270,	500695
HFM02,	4,	0xd2000000 0xba10f770,	500683
HFM02,	5,	0xea000000 0xba123870,	500717
HFM02,	6,	0xb4000000 0xba08f870,	500632
HFM02,	10,	0xa4000000 0xba113870,	500662
HFM02,	11,	0x19000000 0xba2bba70,	500663
HFM02,	12,	0xbb000000 0xba069a70,	500753
HFM02,	13,	0x2000000 0xba275470,	500645
HFM02,	14,	0x46000000 0xb9fbd770,	500615
HFM03,	3,	0xce000000 0xba0d3970,	500610
HFM03,	4,	0x3e000000 0xba22f270,	500716
HFM03,	5,	0xe0000000 0xba2a2d70,	500584
HFM03,	6,	0x7d000000 0xb9e68070,	500654
HFM03,	10,	0x45000000 0xaa0dba70,	500770
HFM03,	11,	0x38000000 0xba058370,	500589
HFM03,	12,	0xd1000000 0xb9fd0d70,	500779
HFM03,	13,	0x5b000000 0xba210170,	500743
HFM03,	14,	0xa5000000 0xba230d70,	500758
HFM04,	3,	0x2f000000 0xba090770,	500723
HFM04,	4,	0xcb000000 0xba244070,	500744
HFM04,	5,	0x94000000 0xba010070,	500664
HFM04,	6,	0xc9000000 0xba09ed70,	500657
HFM04,	10,	0x26000000 0xb9f36470,	500697
HFM04,	11,	0xb0000000 0xba28d570,	500592
HFM04,	12,	0x52000000 0xba0c7670,	500694
HFM04,	13,	0x3c000000 0xba1bb270,	500655
HFM04,	14,	0x77000000 0xba037b70,	500623
HFM05,	3,	0xfd000000 0xba155f70,	500782
HFM05,	4,	0x30000000 0xba166d70,	500684
HFM05,	5,	0x14000000 0xba120670,	500712
HFM05,	6,	0x97000000 0xb9ff5870,	500745
HFM05,	10,	0x92000000 0xba244370,	500611
HFM05,	11,	0xd4000000 0xba053670,	500621
HFM05,	12,	0xe0000000 0xb9eca970,	500608
HFM05,	13,	0x32000000 0xb9f6a770,	500590
HFM05,	14,	0xab000000 0xba0aae70,	500685
HFM06,	3,	0x3f000000 0xba169170,	500633
HFM06,	4,	0xdd000000 0xba165d70,	500755
HFM06,	5,	0x3000000 0xba009570,	500625
HFM06,	6,	0xe9000000 0xba12ae70,	500689
HFM06,	10,	0x6b000000 0xba0d1770,	500741
HFM06,	11,	0xbd000000 0xba162670,	500682
HFM06,	12,	0x7e000000 0xba0d2c70,	500688
HFM06,	13,	0xc3000000 0xba0efd70,	500687
HFM06,	14,	0x6a000000 0xba28e470,	500699
HFM07,	3,	0xd0000000 0xba0dd870,	500719
HFM07,	4,	0xc000000 0xb9e7ff70,	500617
HFM07,	5,	0x8a000000 0xba258e70,	500722
HFM07,	6,	0x56000000 0xb9e55870,	500702
HFM07,	10,	0x5b000000 0xba09c270,	500700
HFM07,	11,	0x31000000 0xba2ac670,	500708
HFM07,	12,	0x38000000 0xba20f570,	500772
HFM07,	13,	0x5d000000 0xba076970,	500737
