## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 47400401   3   3   b   24       3          4              0      HO    -1     1      4
 47400801   3   3   b   24       3          4              1      HO    -2     1      4
 47400C01   3   3   t   24       2          7              1      HO    -3     1      4
 47401001   3   4   t   24       4          5              2      HO    -4     1      4
 4E240201   3   4   t   24       4          5              1     HOX    -4     1   -999
 47401401   3   4   b   24       5          3              2      HO    -5     1      4
 47401801   3   4   b   24       5          2              0      HO    -6     1      4
 47401C01   3   4   b   24       5          1              2      HO    -7     1      4
 47402001   3   5   b   24       7          8              0      HO    -8     1      4
 47402401   3   5   b   24       7          7              2      HO    -9     1      4
 47402801   3   5   b   24       7          6              0      HO   -10     1      4
 47402C01   3   5   b   24       7          5              2      HO   -11     1      4
 47403001   3   5   b   24       7          4              0      HO   -12     1      4
 47403401   3   5   b   24       7          3              2      HO   -13     1      4
 47403801   3   5   b   24       7          2              0      HO   -14     1      4
 47403C01   3   5   b   24       7          1              2      HO   -15     1      4
 4E240781   3   4   b   24       5          8              0     HOX   -15     1   -999
 47400402   3   3   t   24       2          8              0      HO    -1     2      4
 47400802   3   3   t   24       2          7              2      HO    -2     2      4
 47400C02   3   3   t   24       2          7              0      HO    -3     2      4
 47401002   3   4   t   24       4          5              0      HO    -4     2      4
 47401402   3   4   t   24       4          3              1      HO    -5     2      4
 47401802   3   4   t   24       4          2              2      HO    -6     2      4
 47401C02   3   4   t   24       4          1              1      HO    -7     2      4
 47402002   3   5   t   24       6          8              2      HO    -8     2      4
 47402402   3   5   t   24       6          7              1      HO    -9     2      4
 47402802   3   5   t   24       6          6              2      HO   -10     2      4
 47402C02   3   5   t   24       6          5              1      HO   -11     2      4
 47403002   3   5   t   24       6          4              2      HO   -12     2      4
 47403402   3   5   t   24       6          3              1      HO   -13     2      4
 47403802   3   5   t   24       6          2              2      HO   -14     2      4
 47403C02   3   5   t   24       6          1              1      HO   -15     2      4
 4E240782   3   3   b   24       3          8              2     HOX   -15     2   -999
 47400403   3   3   t   24       2          6              0      HO    -1     3      4
 47400803   3   3   t   24       2          6              1      HO    -2     3      4
 47400C03   3   3   t   24       2          4              1      HO    -3     3      4
 47401003   3   4   t   24       4          4              2      HO    -4     3      4
 4E240203   3   4   t   24       4          4              1     HOX    -4     3   -999
 47401403   3   4   t   24       4          3              0      HO    -5     3      4
 47401803   3   4   t   24       4          2              1      HO    -6     3      4
