## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 43102C0C  20   1   u    0       0         14              0      HB   -11    12      1
 43101C0C  20   1   u    0       0         14              1      HB    -7    12      1
 43100C0C  20   1   u    0       0         14              2      HB    -3    12      1
 4310140C  20   1   u    0       0         15              0      HB    -5    12      1
 4310040C  20   1   u    0       0         15              1      HB    -1    12      1
 4310240C  20   1   u    0       0         15              2      HB    -9    12      1
 43102C0B  20   1   u    0       0         16              0      HB   -11    11      1
 43101C0B  20   1   u    0       0         16              1      HB    -7    11      1
 43100C0B  20   1   u    0       0         16              2      HB    -3    11      1
 4310140B  20   1   u    0       0         17              0      HB    -5    11      1
 4310040B  20   1   u    0       0         17              1      HB    -1    11      1
 4310240B  20   1   u    0       0         17              2      HB    -9    11      1
 4310280C  20   1   u    0       0         18              0      HB   -10    12      1
 4310180C  20   1   u    0       0         18              1      HB    -6    12      1
 4310080C  20   1   u    0       0         18              2      HB    -2    12      1
 4310200C  20   1   u    0       0         19              0      HB    -8    12      1
 4310100C  20   1   u    0       0         19              1      HB    -4    12      1
 4310300C  20   1   u    0       0         19              2      HB   -12    12      1
 4310280B  20   1   u    0       0         20              0      HB   -10    11      1
 4310180B  20   1   u    0       0         20              1      HB    -6    11      1
 4310080B  20   1   u    0       0         20              2      HB    -2    11      1
 4310200B  20   1   u    0       0         21              0      HB    -8    11      1
 4310100B  20   1   u    0       0         21              1      HB    -4    11      1
 4310300B  20   1   u    0       0         21              2      HB   -12    11      1
 43102C0E  20   1   u    0       0          2              0      HB   -11    14      1
 43101C0E  20   1   u    0       0          2              1      HB    -7    14      1
 43100C0E  20   1   u    0       0          2              2      HB    -3    14      1
 4310140E  20   1   u    0       0          3              0      HB    -5    14      1
 4310040E  20   1   u    0       0          3              1      HB    -1    14      1
 4310240E  20   1   u    0       0          3              2      HB    -9    14      1
 43102C0D  20   1   u    0       0          4              0      HB   -11    13      1
 43101C0D  20   1   u    0       0          4              1      HB    -7    13      1
 43100C0D  20   1   u    0       0          4              2      HB    -3    13      1
 4310140D  20   1   u    0       0          5              0      HB    -5    13      1
 4310040D  20   1   u    0       0          5              1      HB    -1    13      1
 4310240D  20   1   u    0       0          5              2      HB    -9    13      1
 4310280E  20   1   u    0       0          6              0      HB   -10    14      1
 4310180E  20   1   u    0       0          6              1      HB    -6    14      1
 4310080E  20   1   u    0       0          6              2      HB    -2    14      1
 4310200E  20   1   u    0       0          7              0      HB    -8    14      1
 4310100E  20   1   u    0       0          7              1      HB    -4    14      1
 4310300E  20   1   u    0       0          7              2      HB   -12    14      1
 4310280D  20   1   u    0       0          8              0      HB   -10    13      1
 4310180D  20   1   u    0       0          8              1      HB    -6    13      1
 4310080D  20   1   u    0       0          8              2      HB    -2    13      1
 4310200D  20   1   u    0       0          9              0      HB    -8    13      1
 4310100D  20   1   u    0       0          9              1      HB    -4    13      1
 4310300D  20   1   u    0       0          9              2      HB   -12    13      1
 4320400C  20   2   u    0       0         14              0      HB   -16    12      2
 43203C0C  20   2   u    0       0         14              1      HB   -15    12      2
 4310380C  20   2   u    0       0         14              2      HB   -14    12      1
 43103C0C  20   2   u    0       0         15              0      HB   -15    12      1
 4310340C  20   2   u    0       0         15              1      HB   -13    12      1
 4310400C  20   2   u    0       0         15              2      HB   -16    12      1
 4320400B  20   2   u    0       0         16              0      HB   -16    11      2
 43203C0B  20   2   u    0       0         16              1      HB   -15    11      2
 4310380B  20   2   u    0       0         16              2      HB   -14    11      1
 43103C0B  20   2   u    0       0         17              0      HB   -15    11      1
 4310340B  20   2   u    0       0         17              1      HB   -13    11      1
 4310400B  20   2   u    0       0         17              2      HB   -16    11      1
 4510440C  20   2   u    0       0         18              0      HE   -17    12      1
 4530400C  20   2   u    0       0         18              1      HE   -16    12      3
