#file created 17.Jun.2016
#Writing HCAL Front End Map... IOV C
#      eta      phi    depth   subdet      rbx       rm
       -11       12        1       HB    HBM04        3
        -7       12        1       HB    HBM04        3
        -3       12        1       HB    HBM04        3
        -5       12        1       HB    HBM04        3
        -1       12        1       HB    HBM04        3
        -9       12        1       HB    HBM04        3
       -11       11        1       HB    HBM04        4
        -7       11        1       HB    HBM04        4
        -3       11        1       HB    HBM04        4
        -5       11        1       HB    HBM04        4
        -1       11        1       HB    HBM04        4
        -9       11        1       HB    HBM04        4
       -10       12        1       HB    HBM04        3
        -6       12        1       HB    HBM04        3
        -2       12        1       HB    HBM04        3
        -8       12        1       HB    HBM04        3
        -4       12        1       HB    HBM04        3
       -12       12        1       HB    HBM04        3
       -10       11        1       HB    HBM04        4
        -6       11        1       HB    HBM04        4
        -2       11        1       HB    HBM04        4
        -8       11        1       HB    HBM04        4
        -4       11        1       HB    HBM04        4
       -12       11        1       HB    HBM04        4
       -11       14        1       HB    HBM04        1
        -7       14        1       HB    HBM04        1
        -3       14        1       HB    HBM04        1
        -5       14        1       HB    HBM04        1
        -1       14        1       HB    HBM04        1
        -9       14        1       HB    HBM04        1
       -11       13        1       HB    HBM04        2
        -7       13        1       HB    HBM04        2
        -3       13        1       HB    HBM04        2
        -5       13        1       HB    HBM04        2
        -1       13        1       HB    HBM04        2
        -9       13        1       HB    HBM04        2
       -10       14        1       HB    HBM04        1
        -6       14        1       HB    HBM04        1
        -2       14        1       HB    HBM04        1
        -8       14        1       HB    HBM04        1
        -4       14        1       HB    HBM04        1
       -12       14        1       HB    HBM04        1
       -10       13        1       HB    HBM04        2
        -6       13        1       HB    HBM04        2
        -2       13        1       HB    HBM04        2
        -8       13        1       HB    HBM04        2
        -4       13        1       HB    HBM04        2
       -12       13        1       HB    HBM04        2
       -16       12        2       HB    HBM04        3
       -15       12        2       HB    HBM04        3
       -14       12        1       HB    HBM04        3
       -15       12        1       HB    HBM04        3
       -13       12        1       HB    HBM04        3
       -16       12        1       HB    HBM04        3
       -16       11        2       HB    HBM04        4
       -15       11        2       HB    HBM04        4
       -14       11        1       HB    HBM04        4
       -15       11        1       HB    HBM04        4
       -13       11        1       HB    HBM04        4
       -16       11        1       HB    HBM04        4
       -17       12        1       HE    HEM04        3
       -16       12        3       HE    HEM04        3
       -25       11        1       HE    HEM04        3
       -18       12        1       HE    HEM04        3
       -18       12        2       HE    HEM04        3
       -25       11        2       HE    HEM04        3
       -17       11        1       HE    HEM04        4
       -16       11        3       HE    HEM04        4
       -26       11        1       HE    HEM04        4
       -18       11        1       HE    HEM04        4
       -18       11        2       HE    HEM04        4
       -26       11        2       HE    HEM04        4
       -16       14        2       HB    HBM04        1
       -15       14        2       HB    HBM04        1
       -14       14        1       HB    HBM04        1
       -15       14        1       HB    HBM04        1
       -13       14        1       HB    HBM04        1
       -16       14        1       HB    HBM04        1
       -16       13        2       HB    HBM04        2
       -15       13        2       HB    HBM04        2
       -14       13        1       HB    HBM04        2
       -15       13        1       HB    HBM04        2
       -13       13        1       HB    HBM04        2
       -16       13        1       HB    HBM04        2
       -17       14        1       HE    HEM04        1
       -16       14        3       HE    HEM04        1
       -26       13        1       HE    HEM04        1
       -18       14        1       HE    HEM04        1
       -18       14        2       HE    HEM04        1
       -26       13        2       HE    HEM04        1
       -17       13        1       HE    HEM04        2
       -16       13        3       HE    HEM04        2
       -25       13        1       HE    HEM04        2
       -18       13        1       HE    HEM04        2
       -18       13        2       HE    HEM04        2
       -25       13        2       HE    HEM04        2
       -27       11        1       HE    HEM04        3
       -27       11        2       HE    HEM04        3
       -29       11        2       HE    HEM04        3
       -27       11        3       HE    HEM04        3
       -23       11        2       HE    HEM04        3
       -23       11        1       HE    HEM04        3
       -28       11        1       HE    HEM04        4
       -28       11        2       HE    HEM04        4
